hotel_id,nome,old_destino_id,pais_code,razao
291030,Palmengarten,22161,,
291032,National Botanic Gardens,22161,,
291033,Medici Villas and Gardens,22161,,
291034,Botanic Garden,22161,,
291035,Arctic Alpine Botanic Garden,22161,RO,cidade
291037,Stora Alvaret,22161,,
291038,"Royal Botanic Gardens, Kew",22161,,
295557,Santa's Village and Sportsland Theme Park,22523,,
295558,[[Drøbak]],22523,,
295559,[[Rovaniemi]],22523,FI,bracket
299026,"[[Stockholm]], Sweden",22784,SE,bracket
299027,Blackeberg,22784,,
299028,"[[Ystad]], Sweden",22784,DE,bracket
299029,"[[Copenhagen]], Denmark",22784,DK,bracket
299030,[[Copenhagen/Nørrebro,22784,,
299031,Oslo Opera House,22784,NO,cidade
299032,"[[Lillehammer]], Norway",22784,NO,bracket
299033,Öresund-Bridge,22784,,
299034,Borgafjäll,22784,,
299035,"[[Lappeenranta]], Finland",22784,FI,bracket
299036,"[[Tampere]], Finland",22784,FI,bracket
299037,[[Siglufjörður]],22784,,
300417,"Disneyland Park, California",22898,US,cidade
300419,"Disneyland Paris, France",22898,FR,pais
300425,[[Death Valley National Park]],22898,US,bracket
300427,Hardangerjøkulen,22898,,
300428,[[Redwood National Park]],22898,US,bracket
300430,[[Salar de Uyuni]],22898,BO,bracket
301306,[[O.R. Tambo International Airport,22974,,
301307,[[Zayed International Airport,22974,,
301308,[[Ngurah Rai International Airport,22974,,
301309,[[Kempegowda International Airport,22974,,
301310,[[Suvarnabhumi Airport]] (,22974,TH,bracket
